id	name	plugins	kind_plugin	true_gaps	green	amber	yellow	avg_conf	changelog_url	website	portal	portal_app	version_scheme	hub	pb_method	hosts	extracts	kinds
audio-damage	Audio Damage	61	54	0	50	0	5	85.3		https://www.audiodamage.com	https://www.audiodamage.com/account		semver	0	Shopify product pages + free-and-legacy Dropbox/Shopify zips; Cloudflare often blocks collections. Discontinued SKUs → free-and-legacy.	cdn.shopify.com:23;audio-damage-demo-versions.s3.us-east-2.amazonaws.com:18;www.audiodamage.com:7;www.kvraudio.com:5;www.dropbox.com:2	installer-filename:31;installer-filename-inner-app:18;kvr-verwin-osx:4;kvr-product-page:1;installer-filename-dropbox:1	discontinued:7;plugin:54
united-plugins	United Plugins	59	59	0	2	0	57	61.1		https://unitedplugins.com	https://unitedplugins.com/download/	UnitedPluginsManager		1	Public /download/ only publishes UnitedPluginsManager version; per-plugin current versions not public. Legacy /download/old is not current.	www.kvraudio.com:57;unitedplugins.com:2	kvr-verwin:44;kvr-product-page:13;manufacturer-news-version:2	plugin:59
audified	Audified	57	42	4	27	0	11	82.7	https://audified.com/wp-content/uploads/2025/08/U73b-Compressor-Release-Notes.pdf	https://shop.audified.com	https://shop.audified.com/account		semver	1	Shop/downloads hub-oriented; KVR@60 for public receipts.	audified.com:27;www.kvraudio.com:11	manufacturer-release-notes-pdf:27;kvr-product-page:11	discontinued:14;gen_ambiguous:1;plugin:42
cherry-audio	Cherry Audio	53	51	0	47	0	5	88.9	https://cherryaudio.com/products/ca2600/version-history	https://cherryaudio.com	https://cherryaudio.com/products/downloads	Cherry Audio Sync	semver	0	KVR Product Version per instrument/effect/expansion.	cherryaudio.com:47;www.kvraudio.com:5	manufacturer-version-history:46;kvr-product-page:5;?:1	bundle:1;expansion:1;plugin:51
soniccouture	Soniccouture	53	0	0	0	0	1	50.0	https://www.soniccouture.com/en/support/install-current/	https://soniccouture.com/	https://www.soniccouture.com/en/support/install-current/	Native Access		0		matrixsynth.com:1	third-party-news:1	soundset:53
audiority	Audiority	52	46	0	33	0	13	83.0		https://www.audiority.com	https://www.audiority.com/user-area/		semver	0	Public Plugin Versions table primary @92; KVR@60 for leftovers.	www.audiority.com:33;www.kvraudio.com:13	page-confirmed:31;kvr-product-page:13;audiority-plugin-versions-table:2	plugin:46;soundset:6
boz-digital	Boz Digital Labs	51	31	11	0	0	22	60.0		https://www.bozdigitallabs.com	https://www.bozdigitallabs.com/my-account/			1	Account downloads walled; use KVR Product Version for plugins.	www.kvraudio.com:22	kvr-product-page:22	bundle:5;plugin:31;soundset:15
overloud	Overloud	51	46	0	26	0	20	76.0	https://download.overloud.com/TH-U/changelog.txt	https://www.overloud.com	https://www.overloud.com/user	Overloud account	semver	0	KVR product pages verwin (round6 +46). GEM/TH-U/REmatrix per-product versions.	www.kvraudio.com:20;www.overloud.com:18;download.overloud.com:8	installer-filename:24;kvr-product-page:20;manufacturer-changelog:2	expansion:4;plugin:46;unknown_other:1
blue-cat-audio	Blue Cat Audio	43	33	0	33	0	2	89.9		https://www.bluecataudio.com	https://www.bluecataudio.com/Register/LostKey/		semver	0	Public Download/Products table lists Last updated + version for demos/freeware.	www.bluecataudio.com:33;www.440audio.com:2	manufacturer-downloads-page:33;?:2	bundle:6;discontinued:4;plugin:33
ample-sound	Ample Sound	42	42	7	35	0	0	95.0		https://www.amplesound.net	https://www.amplesound.net/en/account.asp			0		amplesound.net:35	?:35	plugin:42
modartt	Modartt	42	7	1	0	0	8	60.0	https://www.modartt.com/pianoteq_changes	https://www.modartt.com	https://www.modartt.com/user		semver 3-part	0	See playbooks markdown version-chip-expand-6.	www.kvraudio.com:4;www.filehorse.com:3;mac.filehorse.com:1	kvr-product-page:4;third-party-download-mirror:4	bundle:1;discontinued:9;plugin:7;soundset:25
rob-papen	Rob Papen	38	38	0	3	0	35	62.2		https://www.robpapen.com	https://www.robpapen.com/downloads.html			1	Demo/download pages are login-oriented; demos lack public semver in HTML. Prefer KVR product verwin.	www.kvraudio.com:35;www.robpapen.com:3	kvr-product-page:38	plugin:38
nomad-factory	Nomad Factory	37	37	27	1	3	6	70.5	https://www.nomadfactory.com/news/blog	https://nomadfactory.com/	https://download.plugivery.com		semver 3-part	0		www.kvraudio.com:6;download.plugivery.com:4	kvr-product-page:6;distributor-release-page:4	plugin:37
initial-audio	Initial Audio	34	22	0	3	0	19	64.4		https://initialaudio.com	https://initialaudio.com/my-account/		semver (vX.Y.Z)	0	expand-3 version chip	www.kvraudio.com:19;initialaudio.com:3	kvr-product-page:19;manufacturer-product-version-label:1;manufacturer-product-version-badge:1;product-page-version-badge:1	expansion:12;plugin:22
tracktion	Tracktion	34	28	0	0	1	27	60.6		https://www.tracktion.com	https://www.tracktion.com/account		marketing	0	Per-instrument semver mostly KVR; Waveform = hub_app.	www.kvraudio.com:27;sonicstate.com:1	kvr-product-page:27;surge-chip-2026-09-16-0718 A4:1	hub_app:2;plugin:28;soundset:4
discodsp	discoDSP	32	16	0	9	0	7	78.0	https://www.discodsp.com/news/archive/	https://www.discodsp.com	https://www.discodsp.com/		semver 3-part style (major.minor, e.g. Discovery Pro 8.10, OB-Xd 3.x)	0	Product page heading Name X.Y (Discovery Pro 9.3 etc).	www.discodsp.com:9;www.kvraudio.com:7	page-confirmed:9;kvr-product-page:7	expansion:16;plugin:16
baby-audio	Baby Audio	31	25	0	16	0	9	80.5		https://babyaud.io	https://babyaud.io/account		semver	0	babyaud.io/downloads accordion vX.Y + KVR Product Version for SKUs absent from trials.	babyaud.io:16;www.kvraudio.com:9	downloads-accordion-label:16;kvr-product-page:9	bundle:6;plugin:25
flux	FLUX::	31	24	0	23	1	0	84.4	https://www.flux.audio/2023/08/01/spat-revolution-23-08-apple-silicon-arm-native-packed-with-new-features/	https://www.flux.audio	https://www.flux.audio		calendar YY.MM plus build number	0		doc.flux.audio:24	?:24	bundle:7;plugin:24
nugen-audio	Nugen Audio	31	27	0	0	0	27	60.0		https://nugenaudio.com	https://www.nugenaudio.com/full-versions-download/	NUGEN My Products	semver	1	Public: KVR verwin 27/31. My Products/downloads hub-walled/broken for binaries. Stay KVR@60.	www.kvraudio.com:27	kvr-product-page:27	bundle:4;plugin:27
fuse-audio-labs	Fuse Audio Labs	30	29	0	29	0	0	92.0	https://www.fuseaudiolabs.com/#/pages/changelog	https://www.fuseaudiolabs.com	https://www.fuseaudiolabs.com/		semver 3-part	0	JS SPA; KVR Fuse Audio Labs product pages.	fuseaudiolabs.de:29	manufacturer-changelog:29	bundle:1;plugin:29
neural-dsp	Neural DSP	30	29	0	29	0	0	92.0	https://neuraldsp.com/news/apple-native-silicon-updates-for-soldano-slo-100-fort	https://neuraldsp.com	https://neuraldsp.com/pages/downloads		semver 3-part (e.g. v2.0.1, v1.0.1, v3.0.2 in release notes)	0	expand-3 version chip	neuraldsp.com:29	page-confirmed:22;mfr-corroboration:7	hardware:1;plugin:29
acon-digital	Acon Digital	29	29	0	16	1	12	76.9		https://acondigital.com	https://acondigital.com/account/		semver	0	Public /software/ installer filenames + KVR verwin for Studio*/dialogue line.	acondigital.com:16;www.kvraudio.com:13	kvr-product-page:12;public-installer-filename-head:10;installer-filename-official-page:5;?:1;installer-filename:1	plugin:29
excite-audio	Excite Audio	29	7	0	0	0	7	60.0		https://www.excite-audio.com	https://www.excite-audio.com/			0	Bloom content = soundset; discrete plugs via KVR.	www.kvraudio.com:7	kvr-product-page:7	plugin:7;soundset:22
air	AIR Music Technology	26	5	0	0	0	5	60.0		https://www.airmusictech.com	https://www.airmusictech.com/	inMusic Software Center	semver	1	inMusic Software Center portal.	www.kvraudio.com:5	kvr-product-page:5	gen_ambiguous:1;plugin:5;suite_component:20
black-rooster-audio	Black Rooster Audio	26	26	0	26	0	0	90.0	https://blackroosteraudio.com/en/news	https://blackroosteraudio.com	https://blackroosteraudio.com/en/myaccount/download		semver	0	Catalog-wide framework release notes (v3.0.0); product pages use /download/current/.	blackroosteraudio.com:26	page-confirmed:26	plugin:26
ddmf	DDMF	25	25	21	0	1	3	61.3	https://ddmf.eu/news/	https://ddmf.eu/	https://ddmf.eu/news/		semver	0		ddmf.eu:2;www.kvraudio.com:2	official-news-post:2;kvr-product-timeline:2	plugin:25
mcdsp	McDSP	25	25	0	25	0	0	88.0		https://mcdsp.com	https://mcdsp.com/account/		major.minor	0	KVR product pages verwin 7.3.0.18 (round6 +25 complete). Mac verosx 7.3.17 diverges — accepted Win Product Version per policy.	mcdsp.com:25	installer-filename:25	plugin:25
unfiltered-audio	Unfiltered Audio	24	21	0	19	0	3	84.2		https://www.unfilteredaudio.com	https://www.plugin-alliance.com/blogs/news/download-and-install-plugin-alliance-plugins			0	Retail Unfiltered Audio titles often mirrored under Plugin Alliance. Prefer PA Installation Manager / Legacy Installers for current SKUs; KVR for RE/legacy-only titles when Mac=Win.	www.plugin-alliance.com:19;www.kvraudio.com:3	html-installer-label:18;kvr-product-page:3;twin-canonical:1	discontinued:2;gen_ambiguous:1;plugin:21
wavesfactory	Wavesfactory	24	12	1	11	0	0	92.0		https://www.wavesfactory.com	https://www.wavesfactory.com/my-account/			0	Product-page changelog headers (# Version X.Y.Z) on wavesfactory.com/audio-plugins/{slug}; blog changelog index for suite; KVR for identity densify. Kontakt instruments = soundset.	www.wavesfactory.com:11	live-page-fetch:6;wavesfactory-product-page-changelog:5	plugin:12;soundset:12
kit-plugins	KIT Plugins	21	18	0	16	0	2	84.9		https://kitplugins.com	https://kitplugins.com/account		semver	0	Shopify silent; KVR for plugins.	kitpluginsinstaller.s3.us-east-1.amazonaws.com:16;www.kvraudio.com:2	installer-filename:16;kvr-product-page:2	plugin:18;soundset:3
kush-audio	Kush Audio	19	19	0	14	0	5	82.0		https://www.thehouseofkush.com	https://www.thehouseofkush.com/account			1	Marketing/subscription site (thehouseofkush.com) does not list per-plugin semver publicly.	thehouseofkush.com:13;www.kvraudio.com:5;www.thehouseofkush.com:1	downloads-page-mac-version-label:13;kvr-product-page:6	plugin:19
projectsam	ProjectSAM	19	0	0	0	0	0		https://projectsam.com/available-now-true-strike-update-2-0/	https://projectsam.com/	https://projectsam.com/account/		major.minor	0				soundset:19
kazrog	Kazrog	18	17	0	12	0	5	82.6		https://kazrog.com	https://kazrog.com/account/	PluginUpdate	semver	0	KVR Product Version; PluginUpdate is the updater app.	kazrog.com:12;www.kvraudio.com:5	blog-version-table:12;kvr-product-page:5	bundle:1;plugin:17
wave-arts	Wave Arts	18	18	18	0	0	0		https://wavearts.com/support/version-history/dialog-2-04	https://wavearts.com	https://wavearts.com/downloads		2- to 3-part (e.g. ConvologyXT 1.27, Panorama 7.02, Tube Saturator 2.15)	0	Official downloads page (wavearts.com/downloads) lists latest installers for the full line; no public version numbers anywhere official. Support FAQ confirms product-code naming.			plugin:18
hofa-plugins	HOFA-Plugins	17	14	14	0	0	0			https://hofa-plugins.de/en/	https://hofa-plugins.de/en/			0				bundle:1;hub_app:1;plugin:14;standalone_app:1
dmg-audio	DMG Audio	16	16	0	16	0	0	92.0	https://dmgaudio.com/news.php	https://dmgaudio.com	https://dmgaudio.com/downloads.php		semver	0	Public downloads.php shows current installer version next to each product heading.	dmgaudio.com:16	manufacturer-downloads-page:16	plugin:16
line-6	Line 6	16	8	4	0	0	4	60.0		https://line6.com	https://line6.com/software/		semver	0	expand-3 version chip	www.kvraudio.com:4	kvr-product-page:4	hardware:8;plugin:8
sonuscore	Sonuscore	14	0	0	0	1	0	75.0		https://www.sonuscore.com	https://www.sonuscore.com			0		www.sonuscore.com:1	?:1	instrument:13;soundset:1
accentize	Accentize	13	13	2	8	0	3	83.3	https://www.accentize.com/product/spectral-balance/	https://www.accentize.com	https://www.accentize.com/userarea/		semver	0	Product Version History / changelog on accentize.com product pages.	www.accentize.com:8;www.kvraudio.com:3	page-confirmed:7;kvr-product-page:3;manual-html-parse:1	plugin:13
liquidsonics	LiquidSonics	13	12	0	11	0	2	83.8	https://liquidsonics.com/software/seventh-heaven-professional	https://www.liquidsonics.com	https://www.liquidsonics.com/downloads/		semver	0	KVR Product Version.	www.liquidsonics.com:11;mobile-convolution-reverb-ios.soft112.com:1;www.kvraudio.com:1	public-installer-filename:9;manual-html-parse:1;?:1;kvr-product-page:1;manufacturer-installer-filename:1	discontinued:1;plugin:12
mixed-in-key	Mixed In Key	13	5	0	0	0	6	60.0		https://mixedinkey.com	https://mixedinkey.com/		semver4	0	Products marketing pages; suite SKUs sometimes on KVR. Individual Captain plugins often lack KVR product pages.	www.kvraudio.com:6	kvr-product-page:6	plugin:5;soundset:1;suite_component:7
glitchmachines	Glitchmachines	12	12	0	9	0	3	82.5		https://glitchmachines.com	https://glitchmachines.com/		semver	0	Freebie pages USER GUIDE Version; paid gen-2 often KVR.	glitchmachines.com:9;www.kvraudio.com:3	manufacturer-user-guide-banner:6;kvr-product-page:3;page-confirmed:3	plugin:12
ignite-amps	Ignite Amps	12	12	0	11	0	1	89.3		https://www.igniteamps.com	https://www.igniteamps.com/		semver	0	Ignite homepage download table per freeware SKU; KVR fallback for PTEq-1a.	www.igniteamps.com:11;www.kvraudio.com:1	page-confirmed:11;kvr-product-page:1	plugin:12
minimal-audio	Minimal Audio	12	12	12	0	0	0			https://www.minimal.audio	https://www.minimal.audio			0				plugin:12
noiseash	NoiseAsh	12	10	8	0	3	0	70.0	https://noiseash.com/knowledge-base/	https://noiseash.com/	https://noiseash.com/			0		noiseash.com:3	manual:3	bundle:2;plugin:10
plogue	Plogue	12	9	0	11	0	1	89.3		https://www.plogue.com	https://www.plogue.com/account/			0	Public pages sparse; KVR for plugins/hub_app.	www.plogue.com:11;www.kvraudio.com:1	manufacturer-downloads-page:11;kvr-product-page:1	hub_app:3;plugin:9
relab-development	Relab Development	12	12	11	0	0	1	45.0	https://relabdevelopment.com/downloads/	https://relabdevelopment.com/	https://relabdevelopment.com/downloads/		semver 3-part	0		www.motunation.com:1	user-forum:1	plugin:12
zplane	zplane	12	8	0	6	0	5	76.4	https://products.zplane.de/blog/epv2-retune-m1-compatible-update	https://www.zplane.de	https://www.zplane.de/		semver 3-part	0	products.zplane.de product pages with demo/download version labels.	products.zplane.de:6;www.kvraudio.com:5	kvr-product-page:5;page-confirmed:3;installer-filename:3	hub_app:4;plugin:8
chowdsp	ChowDSP	11	11	0	11	0	0	93.6	https://github.com/Chowdhury-DSP/BYOD/releases	https://chowdsp.com	https://chowdsp.com/products.html		semver	0		open-audio-stack.github.io:8;chowdsp.com:3	oas-registry-plugins-index:8;installer-basename-mac-win-match:3	plugin:11
dear-reality	Dear Reality	11	11	0	2	0	9	65.5		https://www.dear-reality.com	https://www.dear-reality.com/		semver	0	Marketing site light on installers; KVR@60 dearVR/EXOVERB.	www.kvraudio.com:9;files.plugin-alliance.com:2	kvr-product-page:9;manufacturer-manual-version:2	plugin:11
gforce-software	GForce Software	11	11	0	11	0	0	88.0	https://www.gforcesoftware.com/help/updates-and-releases/	https://www.gforcesoftware.com	https://www.gforcesoftware.com/account/		semver	0	Marketing silent this pass; KVR @60.	www.gforcesoftware.com:11	installer-filename:11	plugin:11
lindell-audio	Lindell Audio	11	11	0	11	0	0	88.0		https://www.plugin-alliance.com/collections/lindell-audio	https://www.plugin-alliance.com/blogs/news/download-and-install-plugin-alliance-plugins			0		www.plugin-alliance.com:11	html-installer-label:11	plugin:11
lunacy-audio	Lunacy	11	11	11	0	0	0			https://lunacy.audio/	https://lunacy.audio/			0				plugin:11
mastering-the-mix	Mastering The Mix	11	11	0	0	0	11	60.0	https://masteringthemix.zendesk.com/hc/en-gb/articles/360010987797-BASSROOM	https://www.masteringthemix.com	https://www.masteringthemix.com/account		V + semver	0	Shopify product pages lack installer semver; KVR @60.	www.kvraudio.com:11	kvr-product-page:10;kvr-verwin:1	plugin:11
pulsar-audio	Pulsar Audio	11	11	6	0	0	5	59.0	https://pulsar.audio/download/	https://pulsar.audio/	https://pulsar.audio/download/			0		www.kvraudio.com:5	kvr-product-timeline:4;kvr-product-metadata:1	plugin:11
tone2	Tone2	11	11	1	10	0	0	92.0	https://www.tone2.com/gladiator-update.html	https://www.tone2.com	https://www.tone2.com		major.minor (2-part), some 3-part	0		www.tone2.com:10	?:10	plugin:11
vienna-symphonic-library	Vienna Symphonic Library	11	6	3	3	2	1	81.7		https://www.vsl.co.at	https://www.vsl.co.at			0		www.vsl.co.at:4;sonicstate.com:2	?:6	expansion:1;hub_app:4;plugin:6
denise-audio	Denise Audio	10	10	10	0	0	0			https://www.deniseaudio.com	https://www.deniseaudio.com			0				plugin:10
ml-sound-lab	ML Sound Lab	10	9	0	0	0	9	60.0	https://ml-sound-lab.com/pages/ml-drums-update	https://ml-sound-lab.com	https://ml-sound-lab.com/			1	ML Sound Lab KVR@60; soundset skipped.	www.kvraudio.com:9	kvr-product-page:9	plugin:9;soundset:1
polyverse	Polyverse Music	10	8	0	8	0	0	92.0	https://polyversemusic.com/supermodal-v0-5-2/	https://polyversemusic.com	https://polyversemusic.com/support/		semver	0	Public update page Current versions list.	polyversemusic.com:8	page-confirmed:8	bundle:2;plugin:8
sample-magic	Sample Magic	10	4	0	0	0	4	60.0		https://www.samplemagic.com	https://www.samplemagic.com/			0	Sample Magic plugins KVR@60; packs soundset.	www.kvraudio.com:4	kvr-product-page:4	plugin:4;soundset:6
sound-radix	Sound Radix	10	10	2	5	0	3	80.0		https://www.soundradix.com	https://www.soundradix.com/account/			0	Downloads page Mac/Windows versions; accept only Mac==Win.	www.soundradix.com:5;www.kvraudio.com:3	page-confirmed:5;kvr-product-page:3	plugin:10
synchro-arts	Synchro Arts	10	7	0	1	0	7	63.1		https://www.synchroarts.com	https://www.synchroarts.com/downloads			0	KVR Product Version per VocAlign/RePitch/Revoice title.	www.kvraudio.com:7;synchroarts.zendesk.com:1	kvr-product-page:7;?:1	plugin:7;suite_component:1;unknown_other:2
tc-electronic	TC Electronic	10	10	9	0	1	0	70.0		https://www.tcelectronic.com/	https://support.empowertribe.com/			0		manuals.plus:1	third-party-manual-copy:1	plugin:10
positive-grid	Positive Grid	9	2	0	1	0	1	76.0	https://help.positivegrid.com/hc/en-us/articles/360024798051-BIAS-FX-2-Desktop-Update-History-Release-Notes	https://www.positivegrid.com	https://www.positivegrid.com/account		4-part: major.minor.patch.build (e.g. 2.7.0.6600)	0	expand-3 version chip	www.positivegrid.com:1;www.kvraudio.com:1	page-confirmed:1;kvr-product-page:1	discontinued:1;expansion:1;hardware:4;hub_app:1;plugin:2
auburn-sounds	Auburn Sounds	8	8	0	8	0	0	92.0		https://www.auburnsounds.com	https://www.auburnsounds.com/		semver	0	Product page H1 embeds version (Couture v1.10 etc).	www.auburnsounds.com:8	page-confirmed:8	plugin:8
leapwing-audio	Leapwing Audio	8	8	0	7	0	1	88.0		https://www.leapwingaudio.com	https://www.leapwingaudio.com/my-account/		semver	0	Support release-notes + KVR Product Version.	www.leapwingaudio.com:7;www.kvraudio.com:1	release-notes-heading:7;kvr-product-page:1	plugin:8
surreal-machines	Surreal Machines	8	6	0	0	0	6	60.0		https://www.surrealmachines.com/	https://www.surrealmachines.com/support/			0		www.kvraudio.com:6	kvr-verwin:6	bundle:2;plugin:6
tone-projects	Tone Projects	8	8	0	6	0	2	84.0		https://www.toneprojects.com	https://www.toneprojects.com/			0	Each product page shows "Current version: X.Y.Z (Month Year)" plus changelog.	www.toneprojects.com:6;www.kvraudio.com:2	manufacturer-product-page:6;kvr-product-page:2	plugin:8
two-notes	Two notes	8	1	0	0	0	2	60.0	https://www.two-notes.com/en/genome/changelog/	https://www.two-notes.com	https://www.two-notes.com/en/my-account/		major.minor for GENOME (e.g. 1.14); 3-part for Torpedo Remote (v5.4.30)	1	Two notes KVR@60 for GENOME/WoS; hardware unversioned; site 403/marketing no patch.	www.kvraudio.com:2	kvr-product-page:2	bundle:1;hardware:4;hub_app:2;plugin:1
waldorf	Waldorf	8	7	0	0	0	7	60.0		https://waldorfmusic.com	https://waldorfmusic.com/			0	Marketing silent; KVR for plugins.	www.kvraudio.com:7	kvr-product-page:7	bundle:1;plugin:7
wave-alchemy	Wave Alchemy	8	7	7	0	0	0			https://www.wavealchemy.co.uk/	https://www.wavealchemy.co.uk/			0				plugin:7;unknown_other:1
devious-machines	Devious Machines	7	7	1	6	0	0	90.0	https://deviousmachines.com/infiltrator-downloads/	https://deviousmachines.com/	https://deviousmachines.com/downloads/		3-part semver-style (e.g. 2.5.22)	0		deviousmachines.com:6	official-downloads-page:6	plugin:7
kiive-audio	Kiive Audio	7	7	6	0	1	0	80.0		https://www.kiiveaudio.com	https://www.kiiveaudio.com			0		www.kiiveaudio.com:1	?:1	plugin:7
audiorealism	AudioRealism	6	5	0	3	0	2	76.8	https://news.audiorealism.se/	https://www.audiorealism.se	https://www.audiorealism.se/		semver	0	Official news blog (news.audiorealism.se) doubles as version/changelog feed: each release post lists version number + features incl. Apple Silicon notes. Tag pages per product: /tag/abl3/, /tag/redominator/.	www.audiorealism.se:3;www.kvraudio.com:2	mfr-corroboration:3;kvr-product-page:2	plugin:5;unknown_other:1
metric-halo	Metric Halo	6	6	0	6	0	0	92.0		https://mhsecure.com	http://mhsecure.com/metric_halo/			0		mhsecure.com:6	live-page-fetch:6	plugin:6
sonic-charge	Sonic Charge	6	6	0	6	0	0	87.2		https://soniccharge.com	https://soniccharge.com/download		semver 3-part	0	expand-3 version chip	soniccharge.com:6	installer-filename-official:4;manufacturer-page-version-label:1;page-confirmed:1	plugin:6
stl-tones	STL Tones	6	6	0	0	0	6	60.0		https://www.stltones.com	https://www.stltones.com/pages/file-downloads		major.minor	1	STL account-walled; KVR@60 for ToneHub family.	www.kvraudio.com:6	kvr-product-page:6	plugin:6
madrona-labs	Madrona Labs	5	5	3	2	0	0	88.0		https://www.madronalabs.com	https://www.madronalabs.com/		semver	0	expand-3 version chip	nyc3.digitaloceanspaces.com:2	installer-filename-official-cdn:2	plugin:5
bbe-sound	BBE Sound	4	4	0	4	0	0	92.0	https://plugins.bbesound.com/news/n212-Native-support-for-Apple-Silicon-M1-and-M2/	https://bbesound.com	https://plugins.bbesound.com		semver	0		plugins.bbesound.com:4	html-download-label:4	plugin:4
krotos	Krotos	4	4	0	0	0	4	60.0		https://www.krotosaudio.com	https://www.krotosaudio.com/my-account/		semver	0	Site flaky; KVR @60.	www.kvraudio.com:4	kvr-product-page:4	plugin:4
thewavewarden	TheWaveWarden	4	3	0	3	0	0	87.0		https://www.thewavewarden.com	https://www.thewavewarden.com/			0	Odin2 GitHub; Filter Force/Spline KVR@60.	thewavewarden.com:2;github.com:1	mfr-corroboration:2;github-release-asset-name:1	discontinued:1;plugin:3
venomode	Venomode	4	4	2	0	2	0	80.0		https://venomode.com	https://venomode.com			0		venomode.com:2	?:2	plugin:4
wedgeforce	Wedgeforce	4	4	0	4	0	0	92.0	https://www.wedgeforce.com/updates-matcha/	https://www.wedgeforce.com	https://www.wedgeforce.com/		semver	0		www.wedgeforce.com:4	html-download-label:4	plugin:4
audiomovers	Audiomovers	3	3	0	0	0	3	60.0	https://audiomovers.com/downloads/	https://audiomovers.com	https://audiomovers.com/wp/downloads/		semver	0	KVR product page verwin	www.kvraudio.com:3	kvr-product-page:2;suite-shared-installer-version:1	plugin:3
getgood-drums	GetGood Drums	3	0	0	0	0	0		https://ggd.co/pages/downloads	https://ggd.co/	https://ggd.co/		semver	0				soundset:3
klevgrand	Klevgrand	3	3	0	3	0	0	92.0	https://klevgrand.com/products/jussi	https://klevgrand.com	https://klevgrand.com/login		semver (vX.Y.Z)	0		klevgrand.com:3	html-download-label:3	plugin:3
kv331-audio	KV331 Audio	3	3	0	3	0	0	92.0		https://www.kv331audio.com	http://synthmaster.com/downloads.aspx			0		synthmaster.com:3	?:3	plugin:3
refx	reFX	3	3	3	0	0	0			https://refx.com	https://refx.com			0				plugin:3
slate-ash	Slate + Ash	3	0	0	0	0	0			https://slateandash.com/	https://slateandash.com/			0				soundset:3
strezov-sampling	Strezov Sampling	3	0	0	0	0	0			https://www.strezov-sampling.com/	https://www.strezov-sampling.com/			0				soundset:3
